,data_as_of,start_date,end_date,group,year,mmwr_week,week_ending_date,state,covid_19_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_deaths,footnote
0,2021-05-04T00:00:00.000,2019-12-29T00:00:00.000,2020-01-04T00:00:00.000,By Week,2019/2020,1,2020-01-04T00:00:00.000,United States,1,60171,98.00,4105,1,434,4539,
1,2021-05-04T00:00:00.000,2020-01-05T00:00:00.000,2020-01-11T00:00:00.000,By Week,2020,2,2020-01-11T00:00:00.000,United States,0,60725,97.00,4153,0,473,4626,
2,2021-05-04T00:00:00.000,2020-01-12T00:00:00.000,2020-01-18T00:00:00.000,By Week,2020,3,2020-01-18T00:00:00.000,United States,2,59352,97.00,4064,2,467,4531,
3,2021-05-04T00:00:00.000,2020-01-19T00:00:00.000,2020-01-25T00:00:00.000,By Week,2020,4,2020-01-25T00:00:00.000,United States,2,59153,99.00,3918,0,499,4419,
4,2021-05-04T00:00:00.000,2020-01-26T00:00:00.000,2020-02-01T00:00:00.000,By Week,2020,5,2020-02-01T00:00:00.000,United States,0,58822,99.00,3817,0,481,4298,
5,2021-05-04T00:00:00.000,2020-02-02T00:00:00.000,2020-02-08T00:00:00.000,By Week,2020,6,2020-02-08T00:00:00.000,United States,2,59466,100,3822,1,521,4344,
6,2021-05-04T00:00:00.000,2020-02-09T00:00:00.000,2020-02-15T00:00:00.000,By Week,2020,7,2020-02-15T00:00:00.000,United States,0,58799,100,3844,0,561,4405,
7,2021-05-04T00:00:00.000,2020-02-16T00:00:00.000,2020-02-22T00:00:00.000,By Week,2020,8,2020-02-22T00:00:00.000,United States,5,58893,101.00,3715,2,566,4284,
8,2021-05-04T00:00:00.000,2020-02-23T00:00:00.000,2020-02-29T00:00:00.000,By Week,2020,9,2020-02-29T00:00:00.000,United States,9,59316,103.00,3839,5,655,4498,
9,2021-05-04T00:00:00.000,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,By Week,2020,10,2020-03-07T00:00:00.000,United States,37,59685,103.00,3977,18,637,4632,
10,2021-05-04T00:00:00.000,2020-03-08T00:00:00.000,2020-03-14T00:00:00.000,By Week,2020,11,2020-03-14T00:00:00.000,United States,57,58667,103.00,3974,29,627,4628,
11,2021-05-04T00:00:00.000,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,By Week,2020,12,2020-03-21T00:00:00.000,United States,577,59204,104.00,4550,251,560,5428,
12,2021-05-04T00:00:00.000,2020-03-22T00:00:00.000,2020-03-28T00:00:00.000,By Week,2020,13,2020-03-28T00:00:00.000,United States,3186,63006,113.00,6188,1441,446,8327,
13,2021-05-04T00:00:00.000,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,By Week,2020,14,2020-04-04T00:00:00.000,United States,10097,72284,130.0,9933,4778,478,15495,
14,2021-05-04T00:00:00.000,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,By Week,2020,15,2020-04-11T00:00:00.000,United States,16272,79093,143.00,12013,7241,475,21178,
15,2021-05-04T00:00:00.000,2020-04-12T00:00:00.000,2020-04-18T00:00:00.000,By Week,2020,16,2020-04-18T00:00:00.000,United States,17139,76794,142.00,11418,7325,264,21308,
16,2021-05-04T00:00:00.000,2020-04-19T00:00:00.000,2020-04-25T00:00:00.000,By Week,2020,17,2020-04-25T00:00:00.000,United States,15510,73904,138.00,10390,6620,144,19327,
17,2021-05-04T00:00:00.000,2020-04-26T00:00:00.000,2020-05-02T00:00:00.000,By Week,2020,18,2020-05-02T00:00:00.000,United States,13199,69291,129.00,8953,5525,66,16673,
18,2021-05-04T00:00:00.000,2020-05-03T00:00:00.000,2020-05-09T00:00:00.000,By Week,2020,19,2020-05-09T00:00:00.000,United States,11220,66805,127.00,7837,4717,48,14378,
19,2021-05-04T00:00:00.000,2020-05-10T00:00:00.000,2020-05-16T00:00:00.000,By Week,2020,20,2020-05-16T00:00:00.000,United States,9210,64461,123.00,6787,3789,22,12227,
20,2021-05-04T00:00:00.000,2020-05-17T00:00:00.000,2020-05-23T00:00:00.000,By Week,2020,21,2020-05-23T00:00:00.000,United States,7228,61612,118.00,5902,2982,24,10167,
