Data as of,Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino,Footnote
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,United States,Count of COVID-19 deaths,338429,82218,6342,21689,1017,1793,104088,
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,United States,Distribution of COVID-19 deaths (%),60.7,14.7,1.1,3.9,0.2,0.3,18.7,
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,01/01/2020,04/24/2021,2020/2021,,By Total,United States,Weighted distribution of population (%),39.6,13.2,0.4,10.1,0.2,2.1,34.5,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Count of COVID-19 deaths,231363,60901,4580,13459,686,1132,69222,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Distribution of COVID-19 deaths (%),60.4,15.9,1.2,3.5,0.2,0.3,18.1,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Weighted distribution of population (%),40.8,14.1,0.4,9.7,0.2,2,32.8,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,United States,Count of COVID-19 deaths,107066,21317,1762,8230,331,661,34866,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,United States,Distribution of COVID-19 deaths (%),61.3,12.2,1,4.7,0.2,0.4,20,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
04/28/2021,01/01/2021,04/24/2021,2021,,By Year,United States,Weighted distribution of population (%),37.5,11.5,0.4,10.8,0.2,2.2,37.4,
