,Date,Year,Week,State,Total_Deaths,Excess_Deaths,Covid_19_Deaths,Cum_Excess_Deaths,Cum_Covid_19_Deaths
0,2019-12-29T00:00:00.000,2019,52,United States,60171.0,-1203.420000000001,1.0,-1203.420000000001,1.0
1,2020-01-05T00:00:00.000,2020,1,United States,60725.0,-1821.7500000000016,0.0,-3025.170000000003,1.0
2,2020-01-12T00:00:00.000,2020,2,United States,59352.0,-1780.5600000000015,2.0,-4805.730000000004,3.0
3,2020-01-19T00:00:00.000,2020,3,United States,59153.0,-591.5300000000005,2.0,-5397.260000000005,5.0
4,2020-01-26T00:00:00.000,2020,4,United States,58822.0,-588.2200000000005,0.0,-5985.480000000005,5.0
5,2020-02-02T00:00:00.000,2020,5,United States,59466.0,0.0,2.0,-5985.480000000005,7.0
6,2020-02-09T00:00:00.000,2020,6,United States,58799.0,0.0,0.0,-5985.480000000005,7.0
7,2020-02-16T00:00:00.000,2020,7,United States,58893.0,588.9300000000005,5.0,-5396.550000000005,12.0
8,2020-02-23T00:00:00.000,2020,8,United States,59316.0,1779.4800000000016,9.0,-3617.0700000000033,21.0
9,2020-03-01T00:00:00.000,2020,9,United States,59685.0,1790.5500000000015,37.0,-1826.5200000000018,58.0
10,2020-03-08T00:00:00.000,2020,10,United States,58667.0,1760.0100000000016,57.0,-66.51000000000022,115.0
11,2020-03-15T00:00:00.000,2020,11,United States,59204.0,2368.160000000002,577.0,2301.650000000002,692.0
12,2020-03-22T00:00:00.000,2020,12,United States,63006.0,8190.779999999993,3186.0,10492.429999999995,3878.0
13,2020-03-29T00:00:00.000,2020,13,United States,72284.0,21685.200000000004,10097.0,32177.629999999997,13975.0
14,2020-04-05T00:00:00.000,2020,14,United States,79093.0,34009.99,16272.0,66187.62,30247.0
15,2020-04-12T00:00:00.000,2020,15,United States,76794.0,32253.479999999996,17139.0,98441.09999999999,47386.0
16,2020-04-19T00:00:00.000,2020,16,United States,73904.0,28083.519999999993,15510.0,126524.61999999998,62896.0
17,2020-04-26T00:00:00.000,2020,17,United States,69291.0,20094.390000000003,13199.0,146619.00999999998,76095.0
18,2020-05-03T00:00:00.000,2020,18,United States,66805.0,18037.350000000002,11220.0,164656.36,87315.0
19,2020-05-10T00:00:00.000,2020,19,United States,64461.0,14826.029999999999,9210.0,179482.38999999998,96525.0
20,2020-05-17T00:00:00.000,2020,20,United States,61612.0,11090.159999999996,7228.0,190572.55,103753.0
21,2020-05-24T00:00:00.000,2020,21,United States,59661.0,8949.149999999994,6158.0,199521.69999999998,109911.0
22,2020-05-31T00:00:00.000,2020,22,United States,58877.0,7654.009999999994,5037.0,207175.70999999996,114948.0
23,2020-06-07T00:00:00.000,2020,23,United States,58013.0,6961.560000000006,4224.0,214137.26999999996,119172.0
24,2020-06-14T00:00:00.000,2020,24,United States,57972.0,6956.640000000006,3835.0,221093.90999999997,123007.0
25,2020-06-21T00:00:00.000,2020,25,United States,58486.0,8188.0399999999945,3828.0,229281.94999999998,126835.0
26,2020-06-28T00:00:00.000,2020,26,United States,59798.0,8969.699999999995,4531.0,238251.64999999997,131366.0
27,2020-07-05T00:00:00.000,2020,27,United States,61912.0,13001.519999999999,5767.0,251253.16999999995,137133.0
28,2020-07-12T00:00:00.000,2020,28,United States,63147.0,15155.279999999999,7174.0,266408.44999999995,144307.0
29,2020-07-19T00:00:00.000,2020,29,United States,64224.0,17340.48,8213.0,283748.92999999993,152520.0
30,2020-07-26T00:00:00.000,2020,30,United States,64200.0,16692.0,8292.0,300440.92999999993,160812.0
31,2020-08-02T00:00:00.000,2020,31,United States,63689.0,15922.25,7849.0,316363.17999999993,168661.0
32,2020-08-09T00:00:00.000,2020,32,United States,63620.0,16541.2,7234.0,332904.37999999995,175895.0
33,2020-08-16T00:00:00.000,2020,33,United States,62531.0,15007.439999999999,6361.0,347911.81999999995,182256.0
34,2020-08-23T00:00:00.000,2020,34,United States,61067.0,12213.399999999998,5716.0,360125.22,187972.0
35,2020-08-30T00:00:00.000,2020,35,United States,60210.0,10837.799999999996,4998.0,370963.01999999996,192970.0
36,2020-09-06T00:00:00.000,2020,36,United States,59623.0,9539.679999999995,4609.0,380502.69999999995,197579.0
37,2020-09-13T00:00:00.000,2020,37,United States,59685.0,9549.599999999995,4256.0,390052.29999999993,201835.0
38,2020-09-20T00:00:00.000,2020,38,United States,60571.0,10297.069999999996,4279.0,400349.36999999994,206114.0
39,2020-09-27T00:00:00.000,2020,39,United States,59737.0,8363.179999999995,4220.0,408712.54999999993,210334.0
40,2020-10-04T00:00:00.000,2020,40,United States,61663.0,11099.339999999997,4796.0,419811.8899999999,215130.0
41,2020-10-11T00:00:00.000,2020,41,United States,60470.0,7861.099999999994,5162.0,427672.9899999999,220292.0
42,2020-10-18T00:00:00.000,2020,42,United States,62017.0,9922.719999999996,5947.0,437595.70999999985,226239.0
43,2020-10-25T00:00:00.000,2020,43,United States,63235.0,10749.949999999995,6978.0,448345.65999999986,233217.0
44,2020-11-01T00:00:00.000,2020,44,United States,67387.0,16172.88,8710.0,464518.53999999986,241927.0
45,2020-11-08T00:00:00.000,2020,45,United States,68563.0,17140.75,10572.0,481659.28999999986,252499.0
46,2020-11-15T00:00:00.000,2020,46,United States,71043.0,20602.47,13247.0,502261.7599999999,265746.0
47,2020-11-22T00:00:00.000,2020,47,United States,72670.0,23254.400000000005,15486.0,525516.1599999999,281232.0
48,2020-11-29T00:00:00.000,2020,48,United States,76885.0,27678.600000000006,18443.0,553194.7599999999,299675.0
49,2020-12-06T00:00:00.000,2020,49,United States,81383.0,34180.85999999999,20805.0,587375.6199999999,320480.0
50,2020-12-13T00:00:00.000,2020,50,United States,82238.0,34539.95999999999,22160.0,621915.5799999998,342640.0
51,2020-12-20T00:00:00.000,2020,51,United States,83458.0,35052.35999999999,23150.0,656967.9399999998,365790.0
52,2020-12-27T00:00:00.000,2020,52,United States,85345.0,38405.24999999999,24342.0,695373.1899999998,390132.0
53,2021-01-03T00:00:00.000,2021,53,United States,83643.0,30111.480000000007,24864.0,725484.6699999998,414996.0
54,2021-01-10T00:00:00.000,2021,1,United States,83424.0,28364.160000000007,24358.0,753848.8299999998,439354.0
55,2021-01-17T00:00:00.000,2021,2,United States,79707.0,24709.170000000006,22304.0,778557.9999999999,461658.0
56,2021-01-24T00:00:00.000,2021,3,United States,75699.0,20438.73,19266.0,798996.7299999999,480924.0
57,2021-01-31T00:00:00.000,2021,4,United States,73143.0,16822.89,16161.0,815819.6199999999,497085.0
58,2021-02-07T00:00:00.000,2021,5,United States,68129.0,9538.059999999994,12758.0,825357.6799999998,509843.0
59,2021-02-14T00:00:00.000,2021,6,United States,65915.0,7909.8000000000075,10204.0,833267.4799999999,520047.0
60,2021-02-21T00:00:00.000,2021,7,United States,63041.0,5043.280000000004,8139.0,838310.7599999999,528186.0
61,2021-02-28T00:00:00.000,2021,8,United States,59718.0,2388.720000000002,6323.0,840699.4799999999,534509.0
62,2021-03-07T00:00:00.000,2021,9,United States,57755.0,0.0,5316.0,840699.4799999999,539825.0
63,2021-03-14T00:00:00.000,2021,10,United States,55824.0,-1116.480000000001,4500.0,839582.9999999999,544325.0
64,2021-03-21T00:00:00.000,2021,11,United States,54924.0,-1647.7200000000014,4027.0,837935.2799999999,548352.0
65,2021-03-28T00:00:00.000,2021,12,United States,51748.0,-3622.3599999999974,3673.0,834312.9199999999,552025.0
66,2021-04-04T00:00:00.000,2021,13,United States,49432.0,-5437.5199999999995,3545.0,828875.3999999999,555570.0
67,2021-04-11T00:00:00.000,2021,14,United States,39219.0,-11373.510000000002,2994.0,817501.8899999999,558564.0
