,Covid_Death_Rate
,4
,2021
State,
RMI,0.0
FSM,0.0
AK,0.5213349844822578
UT,0.5542090440271518
VI,0.864
NE,1.0203061372891216
VT,1.0718020216103172
ID,1.090292876326896
WI,1.1431599666893784
MP,1.1904761904761905
WY,1.2159884420900553
CO,1.2319802100335444
MN,1.2568338277076545
ME,1.2741751990898749
NC,1.3045603412006368
OR,1.3500205614354046
WA,1.364380706629615
NH,1.3732268195518833
ND,1.3879727608023114
TN,1.439292920949223
MT,1.4437082441162685
KY,1.4637704980782524
MO,1.4928125421523615
OK,1.5195012324198927
HI,1.5335463258785942
DE,1.5564388678703127
SD,1.603619761943584
FL,1.6042834427235542
KS,1.611619706919419
IA,1.630842940231662
VA,1.6315117787671845
SC,1.64273141920514
CA,1.662034252742891
GU,1.7053291536050157
TX,1.7070109290735693
AR,1.707780452087602
NV,1.7321945992556382
NY,1.734250213106639
PR,1.7521702412562672
OH,1.7983571945478554
RI,1.8024644703278312
IL,1.8194756021287513
GA,1.8351425712174385
WV,1.8422496212319106
IN,1.85057431377312
MD,1.954766471874024
MI,2.002526517218439
AZ,2.0085866965334374
NM,2.0568139865374016
AL,2.063941264050371
LA,2.26394028535853
PA,2.277835456839892
MS,2.306883800221748
DC,2.316707549741074
CT,2.386855052427093
NJ,2.5608007287369063
MA,2.663614751060978
NYC,3.5077695788868875
AS,
PW,
