Start Date,End Date,Group,Year,Month,State,Age Group,COVID-19 Deaths,Total Deaths
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,Under 1 year,0.0,478.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,0-17 years,0.0,848.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,1-4 years,0.0,111.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,5-14 years,0.0,125.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,15-24 years,11.0,922.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,18-29 years,35.0,1522.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,25-34 years,71.0,1726.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,30-39 years,119.0,2187.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,35-44 years,204.0,2767.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,40-49 years,326.0,3668.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,45-54 years,572.0,5283.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,50-64 years,1824.0,15456.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,55-64 years,1447.0,12269.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,65-74 years,2701.0,18465.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,75-84 years,3014.0,21211.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,85 years and over,2393.0,19750.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,Under 1 year,0.0,61.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,0-17 years,0.0,129.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,1-4 years,0.0,0.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,5-14 years,0.0,33.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,15-24 years,0.0,152.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,18-29 years,0.0,241.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,25-34 years,0.0,276.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,30-39 years,0.0,328.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,35-44 years,10.0,324.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,40-49 years,13.0,363.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,45-54 years,15.0,480.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,50-64 years,48.0,1285.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,55-64 years,40.0,1013.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,65-74 years,84.0,1343.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,75-84 years,94.0,1339.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,85 years and over,76.0,1155.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,Under 1 year,0.0,504.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,0-17 years,15.0,1050.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,1-4 years,0.0,131.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,5-14 years,0.0,185.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,15-24 years,44.0,1414.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,18-29 years,106.0,2418.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,25-34 years,179.0,2749.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,30-39 years,283.0,3175.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,35-44 years,401.0,3488.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,40-49 years,634.0,4260.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,45-54 years,983.0,5959.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,50-64 years,2841.0,16684.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,55-64 years,2261.0,13157.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,65-74 years,3700.0,21303.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,75-84 years,4435.0,26591.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,85 years and over,3515.0,27233.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,Under 1 year,0.0,307.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,0-17 years,0.0,543.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,1-4 years,0.0,56.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,5-14 years,0.0,92.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,15-24 years,0.0,530.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,18-29 years,18.0,863.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,25-34 years,34.0,956.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,30-39 years,57.0,1284.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,35-44 years,88.0,1631.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,40-49 years,173.0,2150.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,45-54 years,256.0,3020.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,50-64 years,845.0,8958.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,55-64 years,709.0,7206.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,65-74 years,1326.0,10885.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,75-84 years,1741.0,12479.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,85 years and over,1731.0,12352.0
1/1/20,4/24/21,By Total,0.0,0.0,California,Under 1 year,0.0,2070.0
1/1/20,4/24/21,By Total,0.0,0.0,California,0-17 years,28.0,3805.0
1/1/20,4/24/21,By Total,0.0,0.0,California,1-4 years,0.0,392.0
1/1/20,4/24/21,By Total,0.0,0.0,California,5-14 years,0.0,659.0
1/1/20,4/24/21,By Total,0.0,0.0,California,15-24 years,135.0,4929.0
1/1/20,4/24/21,By Total,0.0,0.0,California,18-29 years,339.0,8695.0
1/1/20,4/24/21,By Total,0.0,0.0,California,25-34 years,644.0,9935.0
1/1/20,4/24/21,By Total,0.0,0.0,California,30-39 years,1062.0,11797.0
1/1/20,4/24/21,By Total,0.0,0.0,California,35-44 years,1647.0,13831.0
1/1/20,4/24/21,By Total,0.0,0.0,California,40-49 years,2761.0,17667.0
1/1/20,4/24/21,By Total,0.0,0.0,California,45-54 years,4425.0,25668.0
1/1/20,4/24/21,By Total,0.0,0.0,California,50-64 years,12653.0,71755.0
1/1/20,4/24/21,By Total,0.0,0.0,California,55-64 years,9977.0,56235.0
1/1/20,4/24/21,By Total,0.0,0.0,California,65-74 years,14318.0,82601.0
1/1/20,4/24/21,By Total,0.0,0.0,California,75-84 years,15505.0,99342.0
1/1/20,4/24/21,By Total,0.0,0.0,California,85 years and over,16334.0,135215.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,Under 1 year,0.0,420.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,0-17 years,0.0,766.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,1-4 years,0.0,57.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,5-14 years,0.0,114.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,15-24 years,18.0,946.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,18-29 years,32.0,1576.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,25-34 years,33.0,1808.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,30-39 years,46.0,2134.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,35-44 years,89.0,2394.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,40-49 years,170.0,2768.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,45-54 years,289.0,3625.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,50-64 years,802.0,9667.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,55-64 years,625.0,7547.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,65-74 years,1293.0,11740.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,75-84 years,1808.0,14072.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,85 years and over,2261.0,18110.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,Under 1 year,0.0,177.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,0-17 years,0.0,289.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,1-4 years,0.0,25.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,5-14 years,0.0,40.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,15-24 years,0.0,315.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,18-29 years,11.0,614.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,25-34 years,24.0,820.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,30-39 years,38.0,1051.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,35-44 years,59.0,1187.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,40-49 years,122.0,1466.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,45-54 years,221.0,2232.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,50-64 years,842.0,6583.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,55-64 years,705.0,5207.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,65-74 years,1370.0,7724.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,75-84 years,2102.0,10989.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,85 years and over,3441.0,17801.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,Under 1 year,0.0,74.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,0-17 years,0.0,132.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,1-4 years,0.0,14.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,5-14 years,0.0,20.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,15-24 years,0.0,140.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,18-29 years,0.0,224.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,25-34 years,0.0,283.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,30-39 years,12.0,363.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,35-44 years,0.0,391.0
