date,state,death
9/9/20,OK,863.0
9/9/20,PA,7805.0
9/9/20,NC,2958.0
9/9/20,ND,160.0
9/9/20,NE,406.0
9/9/20,NH,433.0
9/9/20,NJ,16003.0
9/9/20,NM,813.0
9/9/20,NV,1412.0
9/9/20,NY,25370.0
9/9/20,OH,4324.0
9/9/20,OR,486.0
9/9/20,RI,1062.0
9/9/20,MS,2623.0
9/9/20,SC,2942.0
9/9/20,SD,173.0
9/9/20,TN,1931.0
9/9/20,TX,13692.0
9/9/20,UT,427.0
9/9/20,VA,2697.0
9/9/20,VT,58.0
9/9/20,WA,1978.0
9/9/20,WI,1191.0
9/9/20,WY,42.0
9/9/20,MT,122.0
9/9/20,WV,254.0
9/9/20,MO,1673.0
9/9/20,HI,88.0
9/9/20,MN,1921.0
9/9/20,AL,2285.0
9/9/20,AR,928.0
9/9/20,AZ,5251.0
9/9/20,CA,13841.0
9/9/20,CO,1977.0
9/9/20,CT,4474.0
9/9/20,DE,609.0
9/9/20,FL,12269.0
9/9/20,GA,6128.0
9/9/20,AK,42.0
9/9/20,IA,1194.0
9/9/20,LA,5140.0
9/9/20,ID,389.0
9/9/20,ME,134.0
9/9/20,MD,3816.0
9/9/20,MA,9146.0
9/9/20,MI,6887.0
9/9/20,KY,1013.0
9/9/20,KS,495.0
9/9/20,IN,3397.0
9/9/20,IL,8433.0
9/8/20,MT,119.0
9/8/20,OK,854.0
9/8/20,ND,160.0
9/8/20,NE,404.0
9/8/20,NH,433.0
9/8/20,NJ,15995.0
9/8/20,NM,807.0
9/8/20,NV,1393.0
9/8/20,NY,25367.0
9/8/20,OH,4298.0
9/8/20,NC,2909.0
9/8/20,SD,173.0
9/8/20,OR,482.0
9/8/20,PA,7791.0
9/8/20,RI,1059.0
9/8/20,SC,2912.0
9/8/20,TX,13553.0
9/8/20,UT,424.0
9/8/20,VA,2686.0
9/8/20,VT,58.0
9/8/20,WA,1953.0
9/8/20,MO,1661.0
9/8/20,WI,1176.0
9/8/20,MS,2585.0
9/8/20,IA,1180.0
9/8/20,MN,1914.0
9/8/20,MI,6811.0
9/8/20,WY,42.0
9/8/20,AK,42.0
9/8/20,AL,2277.0
9/8/20,AR,917.0
9/8/20,AZ,5221.0
9/8/20,CA,13758.0
9/8/20,CO,1973.0
9/8/20,CT,4474.0
9/8/20,DE,609.0
9/8/20,FL,12067.0
9/8/20,GA,6070.0
9/8/20,HI,86.0
9/8/20,ID,385.0
9/8/20,IL,8405.0
9/8/20,IN,3380.0
9/8/20,KS,485.0
9/8/20,KY,997.0
9/8/20,LA,5118.0
9/8/20,MA,9141.0
9/8/20,MD,3807.0
9/8/20,ME,134.0
9/8/20,WV,250.0
9/8/20,TN,1896.0
9/7/20,HI,85.0
9/7/20,MT,118.0
9/7/20,ND,160.0
9/7/20,NE,404.0
9/7/20,NH,433.0
9/7/20,NJ,15990.0
9/7/20,NM,807.0
9/7/20,NV,1393.0
9/7/20,NY,25361.0
9/7/20,OH,4276.0
9/7/20,OK,853.0
9/7/20,OR,481.0
9/7/20,RI,1059.0
9/7/20,SC,2907.0
9/7/20,SD,173.0
9/7/20,TN,1869.0
9/7/20,TX,13492.0
9/7/20,UT,423.0
9/7/20,VA,2684.0
9/7/20,VT,58.0
9/7/20,WA,1953.0
9/7/20,WI,1176.0
9/7/20,WV,247.0
9/7/20,WY,42.0
9/7/20,GA,6044.0
9/7/20,NC,2897.0
9/7/20,PA,7780.0
9/7/20,MS,2585.0
9/7/20,IL,8398.0
9/7/20,FL,12023.0
9/7/20,MO,1659.0
9/7/20,DE,609.0
9/7/20,CT,4468.0
9/7/20,CO,1973.0
9/7/20,CA,13726.0
9/7/20,AZ,5219.0
9/7/20,AR,908.0
9/7/20,AK,42.0
9/7/20,IA,1168.0
9/7/20,ID,385.0
9/7/20,AL,2276.0
9/7/20,IN,3368.0
9/7/20,MA,9133.0
9/7/20,MN,1912.0
9/7/20,ME,134.0
9/7/20,MD,3804.0
9/7/20,MI,6810.0
9/7/20,LA,5105.0
9/7/20,KY,996.0
9/7/20,KS,485.0
9/6/20,NC,2890.0
9/6/20,PA,7760.0
9/6/20,ND,160.0
9/6/20,NE,404.0
9/6/20,NH,433.0
9/6/20,NJ,15988.0
9/6/20,NM,803.0
9/6/20,NV,1389.0
9/6/20,NY,25359.0
9/6/20,OH,4259.0
9/6/20,OK,853.0
9/6/20,OR,480.0
9/6/20,WV,246.0
9/6/20,RI,1058.0
9/6/20,SC,2887.0
9/6/20,SD,173.0
9/6/20,TN,1865.0
9/6/20,TX,13472.0
9/6/20,UT,422.0
9/6/20,VA,2678.0
9/6/20,VT,58.0
9/6/20,WA,1953.0
9/6/20,WI,1176.0
9/6/20,MS,2584.0
9/6/20,WY,42.0
9/6/20,MT,117.0
9/6/20,MA,9125.0
9/6/20,AR,894.0
9/6/20,IA,1165.0
9/6/20,MO,1658.0
9/6/20,AK,42.0
9/6/20,AL,2276.0
9/6/20,AZ,5221.0
9/6/20,CA,13709.0
9/6/20,CO,1972.0
9/6/20,CT,4468.0
9/6/20,FL,12001.0
9/6/20,GA,6037.0
9/6/20,HI,84.0
9/6/20,DE,609.0
9/6/20,ID,384.0
9/6/20,LA,5093.0
9/6/20,MN,1909.0
9/6/20,MI,6806.0
9/6/20,IL,8390.0
9/6/20,MD,3799.0
9/6/20,ME,134.0
9/6/20,KY,996.0
9/6/20,KS,481.0
9/6/20,IN,3364.0
9/5/20,NY,25350.0
9/5/20,TN,1862.0
9/5/20,OH,4256.0
9/5/20,OK,850.0
9/5/20,OR,475.0
9/5/20,PA,7760.0
9/5/20,RI,1058.0
9/5/20,SC,2877.0
9/5/20,SD,173.0
9/5/20,MN,1903.0
9/5/20,TX,13408.0
9/5/20,UT,420.0
9/5/20,VA,2677.0
9/5/20,VT,58.0
9/5/20,WA,1953.0
9/5/20,WI,1176.0
9/5/20,WV,243.0
9/5/20,NM,800.0
9/5/20,NV,1388.0
9/5/20,KY,993.0
9/5/20,NJ,15984.0
9/5/20,NH,432.0
9/5/20,IA,1161.0
9/5/20,MI,6806.0
9/5/20,ME,134.0
9/5/20,MD,3796.0
9/5/20,MA,9116.0
9/5/20,LA,5035.0
9/5/20,KS,481.0
9/5/20,IN,3362.0
9/5/20,IL,8385.0
9/5/20,MO,1639.0
9/5/20,MS,2569.0
9/5/20,MT,116.0
9/5/20,NC,2889.0
9/5/20,ND,159.0
9/5/20,NE,404.0
9/5/20,WY,42.0
9/5/20,GA,5977.0
9/5/20,ID,382.0
9/5/20,CA,13643.0
9/5/20,HI,81.0
9/5/20,AK,42.0
9/5/20,AL,2275.0
9/5/20,AZ,5207.0
9/5/20,AR,882.0
9/5/20,CO,1971.0
9/5/20,CT,4468.0
9/5/20,DE,608.0
9/5/20,FL,11963.0
9/4/20,MN,1899.0
9/4/20,KY,987.0
9/4/20,MA,9100.0
9/4/20,MD,3789.0
9/4/20,ME,134.0
9/4/20,MI,6798.0
9/4/20,NE,404.0
9/4/20,MO,1562.0
9/4/20,MS,2558.0
9/4/20,MT,114.0
9/4/20,NC,2839.0
9/4/20,ND,154.0
9/4/20,IN,3350.0
9/4/20,KS,481.0
9/4/20,FL,11903.0
9/4/20,IL,8362.0
9/4/20,ID,372.0
9/4/20,IA,1141.0
