State_Tribe_Territory,Year,Month,Percent_Public_Face_Mask_Mandate
AK,2020,04,0.0
AK,2020,05,0.0
AK,2020,06,0.0
AK,2020,07,0.0
AK,2020,08,0.0
AK,2020,09,0.0
AK,2020,10,0.0
AK,2020,11,0.0
AK,2020,12,0.0
AK,2021,01,0.0
AK,2021,02,0.0
AK,2021,03,0.0
AL,2020,04,0.0
AL,2020,05,0.0
AL,2020,06,0.0
AL,2020,07,51.61
AL,2020,08,100.0
AL,2020,09,100.0
AL,2020,10,100.0
AL,2020,11,100.0
AL,2020,12,100.0
AL,2021,01,100.0
AL,2021,02,100.0
AL,2021,03,100.0
AR,2020,04,0.0
AR,2020,05,0.0
AR,2020,06,0.0
AR,2020,07,38.71
AR,2020,08,100.0
AR,2020,09,100.0
AR,2020,10,100.0
AR,2020,11,100.0
AR,2020,12,100.0
AR,2021,01,100.0
AR,2021,02,100.0
AR,2021,03,100.0
AS,2020,04,0.0
AS,2020,05,0.0
AS,2020,06,0.0
AS,2020,07,0.0
AS,2020,08,0.0
AS,2020,09,0.0
AS,2020,10,0.0
AS,2020,11,0.0
AS,2020,12,0.0
AS,2021,01,0.0
AS,2021,02,96.43
AS,2021,03,100.0
AZ,2020,04,0.0
AZ,2020,05,0.0
AZ,2020,06,0.0
AZ,2020,07,0.0
AZ,2020,08,0.0
AZ,2020,09,0.0
AZ,2020,10,0.0
AZ,2020,11,0.0
AZ,2020,12,0.0
AZ,2021,01,0.0
AZ,2021,02,0.0
AZ,2021,03,0.0
CA,2020,04,0.0
CA,2020,05,0.0
CA,2020,06,43.33
CA,2020,07,100.0
CA,2020,08,100.0
CA,2020,09,100.0
CA,2020,10,100.0
CA,2020,11,100.0
CA,2020,12,100.0
CA,2021,01,100.0
CA,2021,02,100.0
CA,2021,03,100.0
CO,2020,04,0.0
CO,2020,05,0.0
CO,2020,06,0.0
CO,2020,07,51.61
CO,2020,08,100.0
CO,2020,09,100.0
CO,2020,10,100.0
CO,2020,11,100.0
CO,2020,12,100.0
CO,2021,01,100.0
CO,2021,02,100.0
CO,2021,03,100.0
CT,2020,04,52.38
CT,2020,05,100.0
CT,2020,06,100.0
CT,2020,07,100.0
CT,2020,08,100.0
CT,2020,09,100.0
CT,2020,10,100.0
CT,2020,11,100.0
CT,2020,12,100.0
CT,2021,01,100.0
CT,2021,02,100.0
CT,2021,03,100.0
DC,2020,04,0.0
DC,2020,05,51.61
DC,2020,06,100.0
DC,2020,07,100.0
DC,2020,08,100.0
DC,2020,09,100.0
DC,2020,10,100.0
DC,2020,11,100.0
DC,2020,12,100.0
DC,2021,01,100.0
DC,2021,02,100.0
DC,2021,03,100.0
DE,2020,04,14.29
DE,2020,05,100.0
DE,2020,06,100.0
DE,2020,07,100.0
DE,2020,08,100.0
DE,2020,09,100.0
DE,2020,10,100.0
DE,2020,11,100.0
DE,2020,12,100.0
DE,2021,01,100.0
DE,2021,02,100.0
DE,2021,03,100.0
FL,2020,04,0.0
FL,2020,05,0.0
FL,2020,06,0.0
FL,2020,07,0.0
FL,2020,08,0.0
FL,2020,09,0.0
FL,2020,10,0.0
FL,2020,11,0.0
FL,2020,12,0.0
FL,2021,01,0.0
FL,2021,02,0.0
FL,2021,03,0.0
GA,2020,04,0.0
GA,2020,05,0.0
GA,2020,06,0.0
GA,2020,07,0.0
GA,2020,08,0.0
GA,2020,09,0.0
GA,2020,10,0.0
GA,2020,11,0.0
GA,2020,12,0.0
GA,2021,01,0.0
GA,2021,02,0.0
GA,2021,03,0.0
GU,2020,04,0.0
GU,2020,05,80.65
GU,2020,06,100.0
GU,2020,07,100.0
GU,2020,08,100.0
GU,2020,09,100.0
GU,2020,10,100.0
GU,2020,11,100.0
GU,2020,12,100.0
GU,2021,01,100.0
GU,2021,02,100.0
GU,2021,03,100.0
HI,2020,04,66.67
HI,2020,05,100.0
HI,2020,06,100.0
HI,2020,07,100.0
HI,2020,08,100.0
HI,2020,09,100.0
HI,2020,10,100.0
HI,2020,11,100.0
HI,2020,12,100.0
HI,2021,01,100.0
HI,2021,02,100.0
HI,2021,03,100.0
IA,2020,04,0.0
IA,2020,05,0.0
IA,2020,06,0.0
IA,2020,07,0.0
IA,2020,08,0.0
IA,2020,09,0.0
IA,2020,10,0.0
