Start Date,End Date,Group,Year,Month,State,Age Group,COVID-19 Deaths,Total Deaths,Population
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,Under 5 years,0.0,111.0,294357.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,5-14 years,0.0,125.0,608466.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,15-24 years,11.0,922.0,635707.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,25-34 years,71.0,1726.0,647229.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,35-44 years,204.0,2767.0,593306.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,45-54 years,572.0,5283.0,616616.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,55-64 years,1447.0,12269.0,657667.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,65-74 years,2701.0,18465.0,501447.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,75-84 years,3014.0,21211.0,256847.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,85 years and over,2393.0,19750.0,91543.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,Under 5 years,0.0,0.0,51080.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,5-14 years,0.0,33.0,100662.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,15-24 years,0.0,152.0,96393.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,25-34 years,0.0,276.0,117588.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,35-44 years,10.0,324.0,95765.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,45-54 years,15.0,480.0,85130.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,55-64 years,40.0,1013.0,93339.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,65-74 years,84.0,1343.0,61300.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,75-84 years,94.0,1339.0,23107.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,85 years and over,76.0,1155.0,7181.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,Under 5 years,0.0,131.0,429788.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,5-14 years,0.0,185.0,930745.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,15-24 years,44.0,1414.0,973547.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,25-34 years,179.0,2749.0,1007093.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,35-44 years,401.0,3488.0,896027.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,45-54 years,983.0,5959.0,852090.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,55-64 years,2261.0,13157.0,880794.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,65-74 years,3700.0,21303.0,751699.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,75-84 years,4435.0,26591.0,411197.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,85 years and over,3515.0,27233.0,145737.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,Under 5 years,0.0,56.0,188464.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,5-14 years,0.0,92.0,393213.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,15-24 years,0.0,530.0,397538.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,25-34 years,34.0,956.0,396868.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,35-44 years,88.0,1631.0,370263.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,45-54 years,256.0,3020.0,361582.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,55-64 years,709.0,7206.0,385994.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,65-74 years,1326.0,10885.0,302829.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,75-84 years,1741.0,12479.0,161141.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,85 years and over,1731.0,12352.0,59912.0
1/1/20,4/24/21,By Total,0.0,0.0,California,Under 5 years,0.0,392.0,2383716.0
1/1/20,4/24/21,By Total,0.0,0.0,California,5-14 years,0.0,659.0,5007987.0
1/1/20,4/24/21,By Total,0.0,0.0,California,15-24 years,135.0,4929.0,5180973.0
1/1/20,4/24/21,By Total,0.0,0.0,California,25-34 years,644.0,9935.0,6052952.0
1/1/20,4/24/21,By Total,0.0,0.0,California,35-44 years,1647.0,13831.0,5282100.0
1/1/20,4/24/21,By Total,0.0,0.0,California,45-54 years,4425.0,25668.0,4979745.0
1/1/20,4/24/21,By Total,0.0,0.0,California,55-64 years,9977.0,56235.0,4786635.0
1/1/20,4/24/21,By Total,0.0,0.0,California,65-74 years,14318.0,82601.0,3386670.0
1/1/20,4/24/21,By Total,0.0,0.0,California,75-84 years,15505.0,99342.0,1701599.0
1/1/20,4/24/21,By Total,0.0,0.0,California,85 years and over,16334.0,135215.0,749846.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,Under 5 years,0.0,57.0,332201.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,5-14 years,0.0,114.0,710322.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,15-24 years,18.0,946.0,743213.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,25-34 years,33.0,1808.0,913354.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,35-44 years,89.0,2394.0,798071.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,45-54 years,289.0,3625.0,706150.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,55-64 years,625.0,7547.0,713013.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,65-74 years,1293.0,11740.0,522131.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,75-84 years,1808.0,14072.0,230360.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,85 years and over,2261.0,18110.0,89921.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,Under 5 years,0.0,25.0,181710.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,5-14 years,0.0,40.0,409000.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,15-24 years,0.0,315.0,478803.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,25-34 years,24.0,820.0,448029.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,35-44 years,59.0,1187.0,427141.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,45-54 years,221.0,2232.0,476905.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,55-64 years,705.0,5207.0,513455.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,65-74 years,1370.0,7724.0,352819.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,75-84 years,2102.0,10989.0,186095.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,85 years and over,3441.0,17801.0,91330.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,Under 5 years,0.0,14.0,54719.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,5-14 years,0.0,20.0,113975.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,15-24 years,0.0,140.0,117372.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,25-34 years,0.0,283.0,129080.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,35-44 years,0.0,391.0,113101.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,45-54 years,60.0,678.0,118881.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,55-64 years,155.0,1677.0,137730.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,65-74 years,275.0,2813.0,112858.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,75-84 years,429.0,3529.0,55794.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,85 years and over,508.0,4211.0,20254.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,Under 5 years,0.0,295.0,1139742.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,5-14 years,0.0,441.0,2372397.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,15-24 years,47.0,2892.0,2460558.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,25-34 years,194.0,6556.0,2799422.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,35-44 years,513.0,9381.0,2600531.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,45-54 years,1344.0,16391.0,2709395.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,55-64 years,3724.0,39251.0,2898355.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,65-74 years,7155.0,62308.0,2465369.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,75-84 years,9828.0,81796.0,1450514.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,85 years and over,9550.0,98271.0,581454.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,Under 5 years,0.0,183.0,656566.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,5-14 years,0.0,296.0,1413003.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,15-24 years,32.0,1521.0,1449500.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,25-34 years,134.0,3018.0,1493261.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,35-44 years,341.0,4594.0,1380954.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,45-54 years,947.0,9000.0,1399652.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,55-64 years,2440.0,20216.0,1307533.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,65-74 years,4243.0,29755.0,926001.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,75-84 years,4887.0,33314.0,439884.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,85 years and over,3831.0,32136.0,151069.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,Under 5 years,0.0,0.0,85219.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,5-14 years,0.0,21.0,167586.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,15-24 years,0.0,121.0,165937.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,25-34 years,0.0,250.0,199995.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,35-44 years,13.0,424.0,181803.0
