Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino
01/01/2020,01/31/2020,2020,1.0,By Month,Alabama,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2020,01/31/2020,2020,1.0,By Month,Alabama,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2020,01/31/2020,2020,1.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
01/01/2020,01/31/2020,2020,1.0,By Month,Alabama,Weighted distribution of population (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Alabama,Count of COVID-19 deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Alabama,Distribution of COVID-19 deaths (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,02/29/2020,2020,2.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
02/01/2020,02/29/2020,2020,2.0,By Month,Alabama,Weighted distribution of population (%),49.5,43.1,0.2,1.8,0.0,1.2,4.1
03/01/2020,03/31/2020,2020,3.0,By Month,Alabama,Count of COVID-19 deaths,26.0,18.0,0.0,0.0,0.0,0.0,0.0
03/01/2020,03/31/2020,2020,3.0,By Month,Alabama,Distribution of COVID-19 deaths (%),54.2,37.5,0.0,0.0,0.0,0.0,0.0
03/01/2020,03/31/2020,2020,3.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
03/01/2020,03/31/2020,2020,3.0,By Month,Alabama,Weighted distribution of population (%),55.7,36.4,0.4,2.1,0.0,1.4,4.0
04/01/2020,04/30/2020,2020,4.0,By Month,Alabama,Count of COVID-19 deaths,170.0,159.0,0.0,0.0,0.0,0.0,0.0
04/01/2020,04/30/2020,2020,4.0,By Month,Alabama,Distribution of COVID-19 deaths (%),50.3,47.0,0.0,0.0,0.0,0.0,0.0
04/01/2020,04/30/2020,2020,4.0,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6
04/01/2020,04/30/2020,2020,4.0,By Month,Alabama,Weighted distribution of population (%),54.7,37.6,0.4,2.0,0.0,1.4,3.8
05/01/2020,05/31/2020,2020,5.0,By Month,Alabama,Count of COVID-19 deaths,196.0,215.0,0.0,0.0,0.0,0.0,0.0
05/01/2020,05/31/2020,2020,5.0,By Month,Alabama,Distribution of COVID-19 deaths (%),46.0,50.5,0.0,0.0,0.0,0.0,0.0
