Start Date,End Date,Group,Year,Month,State,Sex,COVID-19 Deaths,Total Deaths
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,Male,5576.0,43447.0
1/1/20,4/24/21,By Total,0.0,0.0,Alabama,Female,4839.0,39660.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,Male,192.0,3574.0
1/1/20,4/24/21,By Total,0.0,0.0,Alaska,Female,132.0,2609.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,Male,9146.0,56682.0
1/1/20,4/24/21,By Total,0.0,0.0,Arizona,Female,6383.0,46032.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,Male,3060.0,25908.0
1/1/20,4/24/21,By Total,0.0,0.0,Arkansas,Female,2832.0,23606.0
1/1/20,4/24/21,By Total,0.0,0.0,California,Male,37203.0,233020.0
1/1/20,4/24/21,By Total,0.0,0.0,California,Female,25797.0,197857.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,Male,3576.0,32469.0
1/1/20,4/24/21,By Total,0.0,0.0,Colorado,Female,2844.0,28364.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,Male,3883.0,23245.0
1/1/20,4/24/21,By Total,0.0,0.0,Connecticut,Female,4046.0,23272.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,Male,731.0,7144.0
1/1/20,4/24/21,By Total,0.0,0.0,Delaware,Female,722.0,6686.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,Male,18436.0,171659.0
1/1/20,4/24/21,By Total,0.0,0.0,Florida,Female,13927.0,147457.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,Male,9070.0,70003.0
1/1/20,4/24/21,By Total,0.0,0.0,Georgia,Female,7793.0,64862.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,Male,283.0,8413.0
1/1/20,4/24/21,By Total,0.0,0.0,Hawaii,Female,176.0,7187.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,Male,1181.0,11354.0
1/1/20,4/24/21,By Total,0.0,0.0,Idaho,Female,846.0,9824.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,Male,11420.0,84856.0
1/1/20,4/24/21,By Total,0.0,0.0,Illinois,Female,9530.0,79680.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,Male,6494.0,50383.0
1/1/20,4/24/21,By Total,0.0,0.0,Indiana,Female,6111.0,47722.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,Male,3095.0,22823.0
1/1/20,4/24/21,By Total,0.0,0.0,Iowa,Female,2842.0,21923.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,Male,2613.0,20975.0
1/1/20,4/24/21,By Total,0.0,0.0,Kansas,Female,2217.0,19250.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,Male,3553.0,37133.0
1/1/20,4/24/21,By Total,0.0,0.0,Kentucky,Female,3516.0,33963.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,Male,5044.0,38070.0
1/1/20,4/24/21,By Total,0.0,0.0,Louisiana,Female,4237.0,33764.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,Male,423.0,10650.0
1/1/20,4/24/21,By Total,0.0,0.0,Maine,Female,448.0,9747.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,Male,5035.0,39786.0
1/1/20,4/24/21,By Total,0.0,0.0,Maryland,Female,4655.0,38088.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,Male,6538.0,44654.0
1/1/20,4/24/21,By Total,0.0,0.0,Massachusetts,Female,6590.0,44194.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,Male,8592.0,76154.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,Female,7306.0,71042.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,Male,3761.0,33683.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,Female,3494.0,32247.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,Male,3813.0,26770.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,Female,3475.0,24308.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,Male,5567.0,50671.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,Female,5048.0,46290.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,Male,886.0,8304.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,Female,701.0,6796.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,Male,1604.0,12878.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,Female,1209.0,12013.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,Male,3451.0,23335.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,Female,2063.0,17881.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,Male,647.0,9076.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,Female,636.0,8527.0
