Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
1/1/20,1/31/20,By Month,2020.0,1.0,Alabama,Male,All Ages,0.0,2400.0,151.0,0.0,23.0,174.0
1/1/20,1/31/20,By Month,2020.0,1.0,Alabama,Female,All Ages,0.0,2328.0,131.0,0.0,12.0,143.0
2/1/20,2/29/20,By Month,2020.0,2.0,Alabama,Male,All Ages,0.0,2391.0,137.0,0.0,24.0,162.0
2/1/20,2/29/20,By Month,2020.0,2.0,Alabama,Female,All Ages,0.0,2236.0,139.0,0.0,15.0,154.0
3/1/20,3/31/20,By Month,2020.0,3.0,Alabama,Male,All Ages,31.0,2489.0,164.0,0.0,19.0,205.0
3/1/20,3/31/20,By Month,2020.0,3.0,Alabama,Female,All Ages,17.0,2267.0,123.0,0.0,14.0,152.0
4/1/20,4/30/20,By Month,2020.0,4.0,Alabama,Male,All Ages,196.0,2552.0,214.0,56.0,0.0,360.0
4/1/20,4/30/20,By Month,2020.0,4.0,Alabama,Female,All Ages,142.0,2324.0,138.0,40.0,0.0,243.0
5/1/20,5/31/20,By Month,2020.0,5.0,Alabama,Male,All Ages,211.0,2649.0,204.0,63.0,0.0,354.0
5/1/20,5/31/20,By Month,2020.0,5.0,Alabama,Female,All Ages,215.0,2459.0,195.0,68.0,0.0,342.0
6/1/20,6/30/20,By Month,2020.0,6.0,Alabama,Male,All Ages,187.0,2517.0,166.0,57.0,0.0,296.0
6/1/20,6/30/20,By Month,2020.0,6.0,Alabama,Female,All Ages,212.0,2383.0,184.0,73.0,0.0,324.0
7/1/20,7/31/20,By Month,2020.0,7.0,Alabama,Male,All Ages,434.0,2930.0,276.0,149.0,0.0,561.0
7/1/20,7/31/20,By Month,2020.0,7.0,Alabama,Female,All Ages,439.0,2787.0,246.0,130.0,0.0,557.0
8/1/20,8/31/20,By Month,2020.0,8.0,Alabama,Male,All Ages,494.0,3034.0,301.0,184.0,0.0,612.0
8/1/20,8/31/20,By Month,2020.0,8.0,Alabama,Female,All Ages,466.0,2730.0,271.0,150.0,0.0,587.0
9/1/20,9/30/20,By Month,2020.0,9.0,Alabama,Male,All Ages,274.0,2703.0,230.0,90.0,0.0,414.0
9/1/20,9/30/20,By Month,2020.0,9.0,Alabama,Female,All Ages,291.0,2407.0,196.0,103.0,0.0,384.0
10/1/20,10/31/20,By Month,2020.0,10.0,Alabama,Male,All Ages,314.0,2737.0,234.0,102.0,0.0,446.0
10/1/20,10/31/20,By Month,2020.0,10.0,Alabama,Female,All Ages,243.0,2462.0,205.0,87.0,0.0,363.0
11/1/20,11/30/20,By Month,2020.0,11.0,Alabama,Male,All Ages,429.0,2911.0,263.0,139.0,0.0,554.0
11/1/20,11/30/20,By Month,2020.0,11.0,Alabama,Female,All Ages,332.0,2636.0,194.0,92.0,0.0,434.0
12/1/20,12/31/20,By Month,2020.0,12.0,Alabama,Male,All Ages,970.0,3691.0,490.0,335.0,0.0,1128.0
12/1/20,12/31/20,By Month,2020.0,12.0,Alabama,Female,All Ages,763.0,3332.0,364.0,246.0,0.0,882.0
1/1/21,1/31/21,By Month,2021.0,1.0,Alabama,Male,All Ages,1286.0,4059.0,654.0,498.0,0.0,1444.0
1/1/21,1/31/21,By Month,2021.0,1.0,Alabama,Female,All Ages,1076.0,3660.0,502.0,382.0,0.0,1198.0
2/1/21,2/28/21,By Month,2021.0,2.0,Alabama,Male,All Ages,510.0,2835.0,287.0,178.0,0.0,619.0
2/1/21,2/28/21,By Month,2021.0,2.0,Alabama,Female,All Ages,433.0,2579.0,255.0,157.0,0.0,535.0
3/1/21,3/31/21,By Month,2021.0,3.0,Alabama,Male,All Ages,190.0,2498.0,190.0,72.0,0.0,309.0
3/1/21,3/31/21,By Month,2021.0,3.0,Alabama,Female,All Ages,166.0,2174.0,154.0,61.0,0.0,259.0
4/1/21,4/24/21,By Month,2021.0,4.0,Alabama,Male,All Ages,49.0,1051.0,66.0,17.0,0.0,99.0
4/1/21,4/24/21,By Month,2021.0,4.0,Alabama,Female,All Ages,44.0,896.0,53.0,13.0,0.0,84.0
1/1/20,1/31/20,By Month,2020.0,1.0,Alaska,Male,All Ages,0.0,231.0,0.0,0.0,0.0,0.0
1/1/20,1/31/20,By Month,2020.0,1.0,Alaska,Female,All Ages,0.0,191.0,0.0,0.0,0.0,0.0
2/1/20,2/29/20,By Month,2020.0,2.0,Alaska,Male,All Ages,0.0,211.0,0.0,0.0,0.0,0.0
2/1/20,2/29/20,By Month,2020.0,2.0,Alaska,Female,All Ages,0.0,152.0,0.0,0.0,0.0,0.0
3/1/20,3/31/20,By Month,2020.0,3.0,Alaska,Male,All Ages,0.0,207.0,15.0,0.0,0.0,16.0
3/1/20,3/31/20,By Month,2020.0,3.0,Alaska,Female,All Ages,0.0,148.0,13.0,0.0,0.0,14.0
4/1/20,4/30/20,By Month,2020.0,4.0,Alaska,Male,All Ages,0.0,198.0,10.0,0.0,0.0,11.0
4/1/20,4/30/20,By Month,2020.0,4.0,Alaska,Female,All Ages,0.0,159.0,0.0,0.0,0.0,0.0
5/1/20,5/31/20,By Month,2020.0,5.0,Alaska,Male,All Ages,0.0,212.0,0.0,0.0,0.0,0.0
5/1/20,5/31/20,By Month,2020.0,5.0,Alaska,Female,All Ages,0.0,173.0,0.0,0.0,0.0,0.0
6/1/20,6/30/20,By Month,2020.0,6.0,Alaska,Male,All Ages,0.0,222.0,0.0,0.0,0.0,0.0
6/1/20,6/30/20,By Month,2020.0,6.0,Alaska,Female,All Ages,0.0,148.0,0.0,0.0,0.0,0.0
