,State,Land_Area,Population,Pop_Density,log_Pop_Density,Death_Rate,Adj_for_age_Covid_Death_Rate
0,AK,570640.95,731545.0,1.2819707383425603,0.3583633320581594,0.5213349844822578,0.7570452526563118
1,TX,261231.71,28995881.0,110.99678901921976,6.794374131818099,1.707010929073569,2.140164665455401
2,CA,155779.22,39512223.0,253.64244987232573,7.986652406447719,1.662034252742891,1.79957323840183
3,MT,145545.8,1068778.0,7.3432417836859605,2.876417102952767,1.4437082441162683,1.3060059019262673
4,NM,121298.15,2096829.0,17.286570322795527,4.111579759755074,2.0568139865374016,1.9902426797553832
5,AZ,113594.08,7278717.0,64.07655222877811,6.001724617536265,2.0085866965334374,1.9278282305109216
6,NV,109781.18,3080156.0,28.057231667577266,4.810300763984766,1.7321945992556382,1.859147057625779
7,CO,103641.89,5758736.0,55.56378796256996,5.796073050731712,1.2319802100335444,1.4514387026059372
8,OR,95988.01,4217737.0,43.94024837060379,5.457471119451139,1.3500205614354046,1.3013387813360615
9,WY,97093.14,578759.0,5.960863970410268,2.575521450736394,1.2159884420900553,1.2251204709079015
10,MI,56538.9,9986857.0,176.63691723751256,7.464643088533321,2.0025265172184388,1.8855659420527149
11,MN,79626.74,5639632.0,70.82585573640212,6.146204222612592,1.2568338277076545,1.2277721361770455
12,UT,82169.62,3205958.0,39.016342049531204,5.28600662028744,0.5542090440271518,0.8060742420175827
13,ID,82643.12,1787065.0,21.623881092582177,4.434553578668128,1.090292876326896,1.17985669335803
14,KS,81758.72,2913314.0,35.63306764098068,5.15514478492389,1.611619706919419,1.5794387398184344
15,NE,76824.17,1934408.0,25.179679780464923,4.654188030761098,1.0203061372891216,1.0123481881928338
16,SD,75811.0,884659.0,11.66926963105618,3.544642361791438,1.6036197619435841,1.5116457928171665
17,WA,66455.52,7614893.0,114.58631276980452,6.840290915558634,1.3643807066296152,1.4675957980721104
18,ND,69000.8,762062.0,11.04424876233319,3.4652233837737363,1.3879727608023114,1.344131142884777
19,OK,68594.92,3956971.0,57.68606479896762,5.850150944546418,1.5195012324198929,1.5754057316985697
20,MO,68741.52,6137428.0,89.28269261430354,6.48030863194162,1.4928125421523617,1.4119125835024051
21,FL,53624.76,21477737.0,400.5190326259735,8.645726990767486,1.6042834427235542,1.2824058379397023
22,WI,54157.8,5822434.0,107.5086875759355,6.748309435787605,1.1431599666893784,1.0722560690656997
23,GA,57513.49,10617423.0,184.60752425213633,7.528317545467089,1.8351425712174383,2.1542114692737475
24,IL,55518.93,12671821.0,228.2432496447608,7.834428382522935,1.8194756021287517,1.8147618389062168
25,IA,55857.13,3155070.0,56.48464215759027,5.819786755424988,1.6308429402316618,1.4657532072937105
26,NY,47126.4,19453561.0,412.7953970598221,8.689283073626997,1.734250213106639,1.6173083848437848
27,NC,48617.91,10488084.0,215.7246989843866,7.753047554322883,1.3045603412006368,1.3346216678988172
28,AR,52035.48,3017804.0,57.99512178997868,5.857859649172644,1.7077804520876017,1.6601690156753683
29,AL,50645.33,4903185.0,96.8141583834087,6.597146141724654,2.0639412640503707,2.0173667727317763
30,LA,43203.9,4648794.0,107.60125821974405,6.7495511377136115,2.2639402853585295,2.377652777221197
31,MS,46923.27,2976149.0,63.42586524766923,5.986999390374953,2.306883800221748,2.3790924063997103
32,OH,40860.69,11689100.0,286.0720168944773,8.160234572224288,1.7983571945478554,1.6874352540546995
33,VA,39490.09,8535519.0,216.14331595597784,7.7558444126092185,1.6315117787671845,1.7117386385176598
34,TN,41234.9,6829174.0,165.61635895806708,7.371701373614565,1.4392929209492231,1.4586892878112632
35,KY,39486.34,4467673.0,113.14477361031689,6.822026134868961,1.4637704980782524,1.4824190227079252
36,IN,35826.11,6732219.0,187.9137589875094,7.553926894086304,1.85057431377312,1.8964285449182503
37,ME,30842.92,1344212.0,43.58251423665464,5.445677521541367,1.2741751990898749,1.0163173576788869
38,SC,30060.7,5148714.0,171.2772490327903,7.42018971897006,1.6427314192051399,1.5931702347673469
39,WV,24038.21,1792147.0,74.55409533405359,6.2202156983129395,1.8422496212319104,1.555646289439925
40,MD,9707.24,6045680.0,622.8011257576819,9.28262774196874,1.9547664718740243,1.9950381430864703
41,HI,6422.63,1415872.0,220.45050080730167,7.784310944167214,1.5335463258785942,1.3395498402992592
42,MA,7800.06,6892503.0,883.6474334812808,9.78732705325231,2.6636147510609782,2.4841613144368253
43,VT,9216.66,623989.0,67.70229128556332,6.081132755428872,1.0718020216103172,0.915134383153995
44,NH,8952.65,1359711.0,151.87804728208965,7.246769545025851,1.3732268195518833,1.2384881743378742
45,NJ,7354.22,8882190.0,1207.767785026828,10.23812738204486,2.5608007287369063,2.433705308841247
46,CT,4842.36,3565287.0,736.2705375065051,9.524092161767797,2.3868550524270935,2.085331366915123
47,DE,1948.54,973764.0,499.74031839223215,8.965034807284272,1.5564388678703127,1.4035469600685526
48,RI,1033.81,1059361.0,1024.715373231058,10.001007524489017,1.8024644703278312,1.5767377844417754
